Time_s,ADC
22844.333,0.2098
22869.6,0.2075
22882.234,0.2081
22894.865,0.2087
22907.496,0.2093
22920.133,0.2081
22932.766,0.2087
22958.032,0.2098
22995.939,0.2104
23008.576,0.2081
23021.211,0.2093
23033.845,0.2116
23046.482,0.2104
23071.757,0.2116
23084.394,0.2122
23097.03,0.2128
23109.667,0.2134
23122.302,0.2122
23134.941,0.214
23160.218,0.2158
23172.854,0.2187
23185.491,0.2175
23198.131,0.2163
23210.763,0.2193
23223.402,0.2187
23261.311,0.2187
23273.95,0.2199
23286.588,0.2181
23299.225,0.2175
23311.859,0.2187
23362.406,0.2181
23387.68,0.2205
23400.32,0.2211
23412.959,0.2205
23425.597,0.2193
23438.236,0.2223
23450.872,0.2193
23476.148,0.2211
23488.787,0.2341
23501.425,0.2329
23514.064,0.2341
23526.704,0.2347
23539.345,0.2323
23564.622,0.2341
23577.261,0.2335
23589.899,0.2347
23602.536,0.2317
23615.174,0.2347
23640.453,0.2341
23665.734,0.237
23678.374,0.2353
23691.014,0.2335
23703.652,0.2364
23716.292,0.2359
23741.572,0.2353
23754.211,0.2347
23766.851,0.237
23779.491,0.2376
23792.133,0.2388
23804.775,0.2376
23830.055,0.2435
23842.696,0.2429
23855.336,0.2418
23867.975,0.2412
23905.896,0.2418
23918.538,0.2424
23943.816,0.2441
23981.737,0.2429
23994.38,0.2441
24007.017,0.2424
24019.655,0.2435
24032.296,0.2447
24057.574,0.2435
24070.214,0.2512
24082.857,0.2494
24095.495,0.2489
24108.134,0.2483
24133.419,0.2489
24158.696,0.2477
24183.982,0.2506
24221.907,0.25
24234.545,0.2489
24247.185,0.25
24259.827,0.2506
24285.113,0.2494
24297.752,0.2483
24310.398,0.2465
24323.036,0.2447
24335.682,0.2435
24348.322,0.2429
24386.248,0.2388
24398.891,0.2376
24411.536,0.2347
24424.178,0.2335
24436.824,0.2228
24462.115,0.1856
24474.762,0.1832
24487.404,0.1856
24500.046,0.1862
24512.695,0.1844
24525.343,0.185
24550.635,0.185
24575.931,0.1844
24588.578,0.1838
24601.224,0.185
24613.87,0.1862
24626.52,0.1856
24651.816,0.1844
24677.106,0.185
24689.753,0.1844
24702.397,0.185
24715.045,0.1868
24727.688,0.1844
24752.984,0.1844
24765.629,0.1862
24778.274,0.1868
24790.916,0.185
24803.56,0.1874
24816.208,0.1862
24841.498,0.185
24854.146,0.1862
24866.794,0.1874
24879.443,0.185
