Time_s,Temp_C
38060.039,-16.9
38072.669,-16.65
38085.299,-15.65
38097.936,-16.9
38110.561,-16.65
38123.187,-16.15
38135.807,-15.65
38148.433,-16.15
38161.054,-16.4
38173.676,-15.4
38186.302,-16.9
38198.927,-15.65
38211.556,-15.9
38224.181,-16.15
38236.807,-14.9
38249.431,-16.15
38262.058,-17.15
38274.684,-15.65
38287.312,-16.15
38299.937,-16.65
38312.564,-16.15
38325.192,-15.65
38350.457,-16.65
38363.093,-16.9
38388.36,-15.65
38400.988,-15.9
38413.625,-15.4
38426.254,-14.9
38438.886,-16.15
38451.521,-15.65
38476.787,-17.15
38489.421,-15.15
38502.054,-16.15
38514.687,-15.4
38527.318,-16.15
38539.954,-15.4
38552.588,-16.9
38565.223,-15.9
38577.857,-15.65
38590.494,-16.65
38615.766,-15.9
38628.401,-16.15
38641.038,-16.65
38653.675,-16.15
38666.31,-16.9
38678.954,-17.4
38691.595,-15.9
38704.231,-16.65
38716.865,-16.9
38729.505,-16.4
38742.14,-15.15
38754.778,-15.9
38780.049,-14.65
38792.688,-15.4
38805.324,-16.4
38817.963,-15.9
38830.599,-16.15
38843.237,-16.9
38855.874,-15.65
38868.513,-15.4
38881.147,-15.65
38893.784,-15.9
38919.062,-14.4
38931.697,-14.15
38944.334,-14.4
38956.974,-16.15
38969.612,-14.65
38994.896,-14.9
39007.538,-13.65
39020.176,-14.9
39032.816,-15.15
39045.453,-14.65
39058.093,-14.4
39070.726,-14.9
39083.352,-14.65
39095.991,-13.15
39108.628,-14.9
39121.269,-14.65
39146.535,-14.15
39159.168,-14.9
39171.8,-13.65
39184.433,-14.15
39197.067,-13.9
39209.706,-13.65
39234.974,-14.15
39247.615,-13.4
39260.257,-12.9
39285.546,-14.15
39298.186,-13.65
39310.829,-13.4
39323.47,-13.9
39336.113,-13.65
39348.755,-15.4
39361.398,-12.4
39374.04,-13.65
39399.324,-13.9
39411.967,-12.9
39437.252,-13.15
39449.893,-12.9
39462.534,-11.9
39475.177,-12.9
39487.821,-11.65
39500.467,-13.4
39513.103,-12.9
39525.751,-12.4
39551.036,-11.65
39563.681,-12.65
39576.325,-12.9
39588.971,-13.15
39601.609,-12.9
39614.256,-13.15
39626.898,-12.65
39639.538,-11.4
39652.177,-13.15
39664.822,-11.65
39677.467,-11.4
39690.113,-12.15
39702.758,-13.15
39715.401,-11.9
39728.045,-11.4
39740.686,-11.9
39765.967,-12.15
39778.606,-10.65
39791.249,-11.65
39803.898,-11.4
39816.542,-11.65
39841.836,-12.15
39854.482,-10.9
39867.124,-11.4
39879.768,-12.15
39892.413,-11.4
39905.059,-10.9
39917.707,-11.65
39930.35,-10.65
39942.995,-9.65
39955.641,-10.15
39968.285,-11.15
39980.922,-9.4
39993.562,-9.15
40006.202,-9.4
40018.843,-10.15
40031.486,-9.4
40056.77,-9.15
40069.412,-9.9
40094.687,-10.15
40107.329,-8.65
40119.97,-8.4
40132.618,-10.4
40145.264,-9.65
40157.907,-10.15
40170.552,-8.15
40183.195,-9.9
40195.837,-9.4
40208.478,-8.9
40221.122,-8.15
40246.415,-8.9
40284.362,-8.15
40297.017,-9.4
40309.67,-8.9
40322.315,-8.4
40334.968,-8.9
40360.262,-8.4
40372.91,-7.65
40385.555,-8.9
40398.205,-8.4
40410.855,-8.15
40423.507,-8.65
40436.153,-7.4
40448.801,-7.15
40461.476,-7.4
40474.083,-6.65
40499.301,-6.9
40511.911,-7.65
40524.519,-6.65
40537.124,-7.9
40549.735,-7.65
40562.34,-6.4
40574.947,-7.65
40587.557,-6.65
40600.164,-7.65
40625.382,-6.65
40637.995,-5.65
40650.61,-6.15
40663.22,-5.4
40675.829,-6.15
40688.437,-5.15
40701.044,-6.15
40713.651,-6.9
40726.259,-6.65
40738.863,-6.15
40751.469,-5.65
40764.072,-5.4
40776.68,-6.15
40789.284,-6.65
40827.107,-5.4
40839.712,-5.9
40852.322,-5.65
40864.931,-4.15
40877.539,-5.9
40890.152,-4.65
40902.76,-4.4
40915.368,-4.15
40927.974,-5.65
40940.581,-5.4
40953.192,-4.4
40965.797,-5.65
40978.405,-4.65
40991.013,-3.4
41003.621,-4.4
41016.233,-3.4
41028.843,-5.65
41041.448,-4.9
41054.06,-3.9
41066.666,-4.4
41079.271,-4.65
41091.879,-4.15
41104.483,-5.15
41117.09,-2.9
41129.693,-4.4
41154.899,-3.4
41180.115,-5.15
41192.724,-2.65
41205.332,-3.4
41217.945,-3.15
41230.55,-3.4
41243.154,-4.15
41255.762,-3.65
41268.375,-4.9
41280.981,-2.15
41293.592,-3.15
41306.208,-2.65
41331.431,-3.4
41344.034,-4.65
41356.643,-2.65
41369.253,-2.4
41381.862,-2.65
41407.079,-1.65
41419.691,-2.9
41432.305,-2.4
41444.926,-2.9
41457.54,-2.4
41470.152,-2.65
41482.769,-1.15
41495.382,-0.9
41507.995,-2.15
41520.61,-1.15
41533.228,-0.65
41545.843,-1.4
41558.467,-1.65
41571.084,-2.65
41583.702,-2.15
41596.318,-1.65
41608.933,-1.4
41621.549,-1.15
41634.161,-1.65
41646.777,-0.4
41659.397,-0.15
41672.016,-1.65
41684.632,-2.65
41697.252,-0.15
41709.875,0.1
41722.482,-1.4
41735.092,-0.4
41747.708,0.1
41760.329,-0.65
41772.943,1.1
41785.565,0.1
41798.186,0.6
41810.803,-0.15
41836.037,0.1
41848.652,0.6
41861.268,-0.65
41873.884,-0.4
41886.508,-0.15
41899.124,1.1
41911.74,0.85
41924.358,1.85
41936.974,-0.65
41949.591,1.35
41962.207,0.85
41974.828,0.6
42000.068,-0.4
42012.686,1.85
42037.933,0.6
42063.169,0.85
42075.794,0.6
42088.417,1.85
42101.043,0.6
42113.663,2.6
42126.284,0.85
42138.9,1.85
42151.512,2.35
42164.14,1.35
42202.008,1.85
42214.63,2.85
42227.253,1.85
42239.87,1.35
42277.734,1.1
42290.355,2.85
42315.6,2.6
42328.224,3.35
42340.844,3.6
42353.466,2.85
42366.088,1.85
42378.712,2.85
42391.335,2.6
42403.958,3.1
42416.581,2.6
42429.204,4.1
42441.837,2.6
42454.459,3.85
42467.085,3.6
42479.707,3.35
42492.333,4.1
42517.587,3.35
42542.836,3.6
42555.457,4.1
42568.076,3.6
42580.701,5.1
42593.327,4.1
42605.949,2.85
42618.574,4.35
42631.202,4.6
42643.826,5.6
42656.451,5.85
42669.078,4.85
42694.325,5.1
42706.947,4.35
42719.573,3.6
42732.195,4.85
42744.826,3.6
42757.451,5.1
42770.076,4.1
42795.323,3.85
42807.949,4.85
42833.2,4.35
42858.445,4.6
42871.068,6.35
42883.697,4.85
42908.942,5.85
42921.568,4.85
42934.192,3.85
42946.813,4.6
42959.444,5.1
42972.068,4.85
42984.685,3.6
43009.936,4.85
43035.184,6.1
43047.81,5.1
43060.438,4.35
43073.065,4.6
43085.696,4.85
43098.327,6.35
43110.954,3.6
43136.216,4.6
43148.846,4.85
43161.491,3.6
43174.102,6.35
43186.734,4.85
43199.363,5.85
43211.993,5.1
43224.62,6.1
43237.25,5.85
43275.127,6.1
43287.758,5.85
43338.282,7.1
43350.912,6.6
43363.543,6.35
43376.171,6.6
43401.434,6.1
43414.067,7.1
43426.701,6.85
43439.337,7.1
43451.971,7.85
43464.598,6.85
43477.229,8.35
43489.863,7.6
43502.512,8.35
43515.125,6.6
43540.392,7.85
43553.025,7.1
43565.657,7.85
43578.292,7.6
43590.925,9.35
43603.559,8.1
43616.195,7.6
43628.828,8.85
43641.464,8.1
43666.732,8.35
43679.364,8.1
43704.628,7.85
43742.527,8.35
43755.157,8.6
43780.431,7.85
43793.068,9.1
43805.705,8.1
43818.344,8.6
43830.981,7.85
43843.617,10.35
43856.255,9.35
43881.518,7.35
43894.154,9.35
43919.423,8.85
43944.697,9.35
43957.334,9.1
43969.972,8.6
43982.607,10.1
43995.24,9.35
44007.874,10.1
44020.512,10.35
44033.151,10.6
44045.79,10.35
44083.705,11.6
44096.338,10.1
44159.526,11.1
44172.161,10.1
44184.8,10.85
44197.442,11.35
44222.719,12.35
44235.359,11.1
44248.002,10.35
44260.638,11.85
44273.275,11.35
44285.917,10.85
44298.555,12.1
44311.193,11.35
44323.833,12.35
44336.473,12.1
44349.118,11.6
44361.755,11.35
44374.392,12.6
44387.031,12.1
44399.668,10.85
44412.312,12.1
44424.948,13.1
44437.587,12.6
44450.234,12.1
44462.875,11.85
44475.514,13.35
44488.157,12.1
44500.799,11.85
44513.436,13.85
44526.072,13.35
44538.711,12.1
44551.356,13.35
44563.997,13.1
44576.641,13.6
44601.926,13.1
44614.566,14.35
44627.202,13.35
44639.844,13.85
44652.486,13.1
44665.133,14.1
44677.778,13.6
44715.707,13.35
44728.35,14.6
44740.995,13.1
44753.637,14.1
44766.289,13.35
44778.931,14.35
44804.214,14.6
44816.858,15.1
44829.501,13.6
44842.147,14.35
44854.793,14.6
44867.442,14.35
44880.084,16.1
44892.725,14.35
44918.012,15.1
44930.654,15.6
44943.3,14.6
44955.948,14.35
44968.593,15.6
44981.242,14.6
44993.893,14.35
45006.555,15.6
45044.379,15.1
45056.991,15.6
45069.599,15.1
45094.821,15.35
45107.428,16.35
45120.036,15.6
45132.651,16.35
45145.258,16.6
45157.872,16.85
45170.481,16.1
45183.094,17.1
45195.704,16.6
45208.312,18.35
45220.92,16.85
45233.529,16.6
45246.141,16.85
45258.752,17.85
45271.365,17.1
45283.976,16.85
45296.587,15.35
45309.196,17.6
45321.814,18.1
45334.422,18.6
45347.032,17.6
45359.642,16.85
45372.258,17.35
45384.866,17.85
45397.474,18.35
45410.086,17.6
45422.703,18.85
45435.316,17.6
45447.928,17.1
45473.158,17.85
45485.773,17.6
45510.999,17.85
45523.617,18.35
45536.235,18.6
45548.847,17.85
45561.461,19.1
45574.076,20.6
45586.692,18.35
45599.315,18.85
45611.93,18.6
45624.547,19.1
45637.156,18.6
45649.773,20.1
45662.383,18.85
45700.238,18.6
45712.85,19.35
45725.464,19.6
45738.083,20.1
45750.695,19.85
45763.314,20.35
45775.931,20.1
45788.546,19.6
45801.162,18.6
45813.777,21.1
45839.011,19.85
45851.623,20.1
45864.235,19.85
45876.85,21.6
45889.463,20.1
45902.083,20.35
45914.697,20.85
45927.314,19.85
45939.932,20.85
45952.552,20.1
45965.171,21.1
45990.406,20.35
46003.023,21.1
46028.254,20.85
46040.874,20.35
46053.492,21.85
46066.11,20.35
46078.726,21.1
46091.346,22.6
46103.965,21.85
46116.583,22.1
46129.201,20.35
46141.819,21.6
46154.442,21.85
46167.063,22.6
46179.685,21.1
46192.306,21.85
46204.931,23.1
46217.551,23.6
46230.175,23.1
46242.792,22.6
46255.409,23.1
46268.03,21.85
46280.653,23.1
46293.278,21.85
46305.9,22.85
46331.15,23.1
46343.772,23.6
46356.39,22.1
46369.016,23.6
46381.635,23.1
46394.254,23.35
46406.871,23.6
46432.118,24.35
46444.742,23.85
46457.362,23.1
46469.987,24.1
46482.613,23.1
46495.234,24.1
46507.859,24.35
46533.108,24.1
46545.731,24.35
46558.357,23.6
46570.981,23.85
46583.607,24.1
46596.235,23.1
46608.858,24.35
46621.486,25.1
46634.116,23.85
46646.739,25.6
46659.366,23.85
46671.999,25.35
46684.623,24.35
46697.243,25.6
46735.112,24.35
46747.741,25.6
46760.363,24.1
46772.99,26.35
46785.62,25.1
46798.243,25.6
46810.87,26.35
46823.496,25.35
46836.125,25.1
46848.755,26.35
46861.381,26.1
46874.008,25.35
46886.638,27.6
46899.263,26.1
46924.508,25.35
46937.129,26.1
46949.755,27.1
46962.376,25.6
46975,26.6
46987.626,26.35
47000.254,25.85
47012.878,27.6
47025.503,27.35
47050.759,25.85
47076.018,27.35
47088.64,25.35
47101.27,26.85
47113.902,26.6
47139.161,26.35
47151.796,27.1
47164.423,28.6
47177.052,27.6
47189.684,27.35
47202.313,29.6
47214.94,27.35
47227.572,28.85
47240.202,28.35
47252.83,29.6
47265.464,28.6
47278.097,28.85
47290.733,28.6
47303.368,28.35
47316.002,28.85
47328.635,27.6
47341.267,28.35
47353.898,29.85
47366.529,28.6
47379.159,28.85
47404.424,28.6
47417.053,28.35
47429.68,29.85
47442.309,28.35
47454.936,29.6
47467.568,30.1
47480.197,28.85
47492.829,28.6
47505.462,30.1
47518.096,29.6
47530.732,30.1
47543.367,29.35
47556.001,29.85
47568.635,29.6
47593.906,29.85
47606.537,29.6
47619.173,29.1
47631.807,29.6
47644.441,31.1
47657.08,29.85
47669.714,29.6
47682.349,31.1
47707.615,29.85
47720.252,29.35
47732.891,29.85
47745.525,30.85
47758.159,30.6
47770.797,30.85
47796.072,30.6
47808.706,30.85
47821.339,30.35
47833.974,31.85
47846.614,30.85
47871.887,30.6
47897.161,30.85
47909.797,32.1
47922.433,32.35
47935.066,30.85
47947.698,30.6
47960.335,30.85
47972.97,31.1
47985.608,31.6
47998.245,32.1
48010.881,31.85
48023.518,31.6
48036.163,32.1
48048.805,31.6
48061.444,30.6
48074.088,33.35
48086.733,33.1
48099.375,31.85
48112.014,32.1
48137.29,32.85
48149.93,32.1
48162.567,33.1
48187.846,32.85
48200.483,32.1
48213.124,32.85
48225.763,34.35
48238.404,32.1
48251.049,33.6
48263.689,34.1
48276.333,33.1
48288.976,33.85
48301.621,34.1
48326.911,32.85
48339.554,33.35
48364.84,34.1
48377.48,34.6
48390.118,34.1
48402.757,34.35
48415.397,35.35
48428.035,33.6
48440.677,33.35
48453.318,34.1
48465.96,35.35
48478.603,34.1
48491.245,34.6
48516.526,35.1
48529.168,34.85
48554.451,34.1
48579.739,34.85
48592.381,35.35
48617.668,35.1
48630.313,35.35
48643.129,35.6
48655.603,35.35
48668.246,36.6
48680.896,35.6
48693.546,35.35
48718.844,35.6
48731.494,36.85
48744.14,35.6
48756.791,35.1
48769.437,37.6
48782.086,36.6
48794.748,36.85
48807.399,36.35
48832.699,37.35
48845.349,36.6
48858,36.35
48870.646,36.1
48883.289,37.35
48895.939,36.6
48921.239,36.35
48933.889,36.85
48946.535,36.35
48959.186,36.85
48971.836,37.85
48984.49,36.35
48997.141,37.6
49009.794,38.6
49022.445,37.6
49035.093,37.85
49060.388,38.85
49073.039,37.1
49085.686,37.35
49098.335,37.85
49136.295,38.1
49148.944,38.35
49161.593,37.35
49174.244,38.6
49199.561,37.85
49212.209,38.35
49224.859,37.85
49237.508,38.6
49250.161,38.85
49262.814,39.85
49275.469,38.6
49288.125,38.85
49313.428,38.6
49326.079,38.85
49338.73,39.1
49351.382,39.35
