Time_s,preStretchTest_2x24compress_Raw,preStretchTest_2x24compress_DeltaPct,preStretchTest_1x24compress_Raw,preStretchTest_1x24compress_DeltaPct,preStretchTest_2x24stretch_Raw,preStretchTest_2x24stretch_DeltaPct,preStretchTest_1x24stretch_Raw,preStretchTest_1x24stretch_DeltaPct,preStretchTest_rest_Raw,preStretchTest_rest_DeltaPct
2.97390208,NaN,NaN,NaN,NaN,NaN,NaN,128.0337265625,-0.00197087738824161,NaN,NaN
2.97397782,NaN,NaN,110.2785703125,-0.116896356449544,NaN,NaN,NaN,NaN,NaN,NaN
2.97404168,NaN,NaN,NaN,NaN,145.309453125,-0.00187097196670088,NaN,NaN,NaN,NaN
2.97411602,92.9225390625,-0.224857372226405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.05632464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4258671875,-0.087438798989478
3.05651432,NaN,NaN,NaN,NaN,NaN,NaN,128.034375,-0.00146442901911301,NaN,NaN
3.0566141,NaN,NaN,110.355890625,-0.0468646833393015,NaN,NaN,NaN,NaN,NaN,NaN
3.05662716,NaN,NaN,NaN,NaN,145.243625,-0.0471721495284969,NaN,NaN,NaN,NaN
3.05672188,92.9128125,-0.235301223314696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.13892188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.62434375,0.0814362723445276
3.13910892,NaN,NaN,NaN,NaN,NaN,NaN,129.1387265625,0.861065957883034,NaN,NaN
3.13921422,NaN,NaN,110.5423671875,0.122033569208771,NaN,NaN,NaN,NaN,NaN,NaN
3.13924572,NaN,NaN,NaN,NaN,146.36853125,0.7269586307668,NaN,NaN,NaN,NaN
3.13931572,92.984515625,-0.15831032750071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.22152142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119.30634375,1.51257688867705
3.2216931,NaN,NaN,NaN,NaN,NaN,NaN,133.07284375,3.93372482402445,NaN,NaN
3.22182424,NaN,NaN,112.2574921875,1.6754814208738,NaN,NaN,NaN,NaN,NaN,NaN
3.22184612,NaN,NaN,NaN,NaN,150.120109375,3.30869564329124,NaN,NaN,NaN,NaN
3.2219184,93.9940859375,0.925711083652319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.30411728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123.382578125,4.98086736177653
3.30428406,NaN,NaN,NaN,NaN,NaN,NaN,138.16346875,7.90964961095002,NaN,NaN
3.30443388,NaN,NaN,NaN,NaN,154.83796875,6.55540189929461,NaN,NaN,NaN,NaN
3.30444458,NaN,NaN,116.5482578125,5.56177579717548,NaN,NaN,NaN,NaN,NaN,NaN
3.30453164,96.126875,3.21578338530093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.3867472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.7645546875,8.70930055940489
3.38689832,NaN,NaN,NaN,NaN,NaN,NaN,143.2070625,11.8488416366459,NaN,NaN
3.3870373,NaN,NaN,NaN,NaN,160.577515625,10.505206517133,NaN,NaN,NaN,NaN
3.38705914,NaN,NaN,119.930140625,8.62486367103951,NaN,NaN,NaN,NaN,NaN,NaN
3.38713708,99.02421875,6.32679271430238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.46934628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.4481484375,9.29094073817783
3.4694899,NaN,NaN,NaN,NaN,NaN,NaN,144.878171875,13.1540262035166,NaN,NaN
3.46963414,NaN,NaN,NaN,NaN,162.525890625,11.8460267490927,NaN,NaN,NaN,NaN
3.46968184,NaN,NaN,120.0793125,8.7599737818172,NaN,NaN,NaN,NaN,NaN,NaN
3.4697332,99.5039296875,6.84188009452315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.55194986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.5834921875,9.40609884625855
3.5520965,NaN,NaN,NaN,NaN,NaN,NaN,145.721640625,13.8127995977702,NaN,NaN
3.55222234,NaN,NaN,NaN,NaN,163.5725625,12.566318698139,NaN,NaN,NaN,NaN
3.5522868,NaN,NaN,120.0048125,8.69249656298531,NaN,NaN,NaN,NaN,NaN,NaN
3.55236362,99.6388515625,6.98675182809337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.63456782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.6668046875,9.47698582758921
3.6346893,NaN,NaN,NaN,NaN,NaN,NaN,146.19471875,14.1822872428707,NaN,NaN
3.63483938,NaN,NaN,NaN,NaN,164.2945,13.0631370242879,NaN,NaN,NaN,NaN
3.63490776,NaN,NaN,120.0998984375,8.77861917523394,NaN,NaN,NaN,NaN,NaN,NaN
3.63496366,99.5991171875,6.94408722838647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.71718876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.7787109375,9.57220198668342
3.71730022,NaN,NaN,NaN,NaN,NaN,NaN,146.495515625,14.4172182682639,NaN,NaN
3.7174483,NaN,NaN,NaN,NaN,164.592953125,13.2685245848405,NaN,NaN,NaN,NaN
3.71755024,NaN,NaN,120.074515625,8.75562908672882,NaN,NaN,NaN,NaN,NaN,NaN
3.7175643,99.71915625,7.07297861149629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.79980916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.8262734375,9.61267084849336
3.79990604,NaN,NaN,NaN,NaN,NaN,NaN,146.79871875,14.6540286442316,NaN,NaN
3.80005616,NaN,NaN,NaN,NaN,165.038921875,13.5754285036558,NaN,NaN,NaN,NaN
3.800155,NaN,NaN,119.928296875,8.62319372309022,NaN,NaN,NaN,NaN,NaN,NaN
3.80019838,99.634234375,6.98179414456472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.88239966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.87203125,9.65160418023133
3.88251594,NaN,NaN,NaN,NaN,NaN,NaN,146.825171875,14.6746892969764,NaN,NaN
3.8826721,NaN,NaN,NaN,NaN,165.28146875,13.7423428590538,NaN,NaN,NaN,NaN
3.8827916,NaN,NaN,119.8495234375,8.55184590456233,NaN,NaN,NaN,NaN,NaN,NaN
3.88280802,99.636703125,6.98444495335499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.96501138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.8355703125,9.62058115492468
3.96511404,NaN,NaN,NaN,NaN,NaN,NaN,147.0664375,14.8631247010124,NaN,NaN
3.96527758,NaN,NaN,NaN,NaN,165.421984375,13.8390420021379,NaN,NaN,NaN,NaN
3.96539314,NaN,NaN,119.76559375,8.47582789261697,NaN,NaN,NaN,NaN,NaN,NaN
3.96541262,99.61109375,6.95694700647351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0476075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.8216328125,9.60872234259405
4.04770318,NaN,NaN,NaN,NaN,NaN,NaN,147.246421875,15.0036976832733,NaN,NaN
4.0478857,NaN,NaN,NaN,NaN,165.631875,13.9834831885104,NaN,NaN,NaN,NaN
