Time_s,Peak_uA,Dip_uA
16353.745,5665.704,0.774
16371.245,5685.099,0.781
16388.745,5676.786,0.788
16406.245,5675.511,0.781
16423.745,5677.526,0.785
16441.245,5674.412,0.778
16458.745,5682.501,0.782
16476.245,5681.132,0.777
16493.745,5685.769,0.788
16511.245,5685.159,0.791
16528.745,5680.897,0.781
16546.245,5675.227,0.775
16563.745,5675.955,0.783
16581.245,5677.425,0.78
16598.745,5672.049,0.788
16616.245,5663.208,0.779
16633.745,5676.593,0.777
16651.245,5668.937,0.773
16668.745,5671.277,0.78
16686.245,5669.985,0.777
16703.745,5658.826,0.773
16721.245,5667.635,0.775
16738.745,5670.098,0.781
16756.245,5672.337,0.778
16773.745,5670.629,0.765
16791.245,5668.41,0.771
16808.745,5670.411,0.774
16826.245,5676.969,0.788
16843.745,5666.82,0.783
16861.245,5678.658,0.779
16878.745,5674.276,0.784
16896.245,5686.365,0.788
16913.745,5674.987,0.777
16931.245,5660.403,0.771
16948.745,5669.38,0.779
16966.245,5668.188,0.794
16983.745,5671.98,0.771
17001.245,5666.953,0.773
17018.745,5657.918,0.773
17036.245,5663.775,0.768
17053.745,5665.661,0.775
17071.245,5645.996,0.761
17088.745,5656.278,0.771
17106.245,5671.146,0.769
17123.745,5661.543,0.765
17141.245,5649.054,0.776
17158.745,5666.278,0.766
17176.245,5669.016,0.772
17193.745,5659.277,0.773
17211.245,5665.778,0.775
17228.745,5672.136,0.777
17246.245,5665.972,0.792
17263.745,5676.837,0.777
17281.245,5661.253,0.768
17298.745,5670.546,0.784
17316.245,5667.719,0.792
17333.745,5671.024,0.785
17351.245,5673.326,0.779
17368.745,5684.016,0.784
17386.245,5667.649,0.778
17403.745,5662.296,0.768
17421.245,5661.273,0.779
17438.745,5661.408,0.775
17456.245,5680.077,0.782
17473.745,5665.349,0.789
17491.245,5664.445,0.778
