Time_s,Sensor_negDegPLA,Sensor_negDegTPU,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
5376.97379808,77.0783046875,NaN,NaN,NaN,NaN,NaN
5394,NaN,NaN,24.975,25,30.103,30
5412.00448472,NaN,114.8871171875,NaN,NaN,NaN,NaN
5430,NaN,NaN,24.973,25,30.102,30
5446.70862252,77.0779765625,NaN,NaN,NaN,NaN,NaN
5464.7879836,77.0805625,NaN,NaN,NaN,NaN,NaN
5481.73852156,NaN,114.861265625,NaN,NaN,NaN,NaN
5499,NaN,NaN,24.965,25,29.873,30
5517,NaN,NaN,24.974,25,29.993,30
5534.52269798,77.078328125,NaN,NaN,NaN,NaN,NaN
5552,NaN,NaN,24.977,25,30.024,30
5569.55167098,NaN,114.844734375,NaN,NaN,NaN,NaN
5587.63080488,NaN,114.8515859375,NaN,NaN,NaN,NaN
5604.25740508,77.0728671875,NaN,NaN,NaN,NaN,NaN
5622.33681394,77.0741640625,NaN,NaN,NaN,NaN,NaN
5640.41617788,77.0814375,NaN,NaN,NaN,NaN,NaN
5658.49557756,77.076484375,NaN,NaN,NaN,NaN,NaN
5675.4438434,NaN,114.8075625,NaN,NaN,NaN,NaN
5692.071606,77.07446875,NaN,NaN,NaN,NaN,NaN
5711,NaN,NaN,24.97,25,30.109,30
5728.23040742,77.0738046875,NaN,NaN,NaN,NaN,NaN
5745.1777118,NaN,114.7894765625,NaN,NaN,NaN,NaN
5763.25683176,NaN,114.771125,NaN,NaN,NaN,NaN
5781.3359563,NaN,114.7583046875,NaN,NaN,NaN,NaN
5797.9652924,77.0609765625,NaN,NaN,NaN,NaN,NaN
5814.91150576,NaN,114.7538671875,NaN,NaN,NaN,NaN
5833,NaN,NaN,24.981,25,29.795,30
5851.06977154,NaN,114.74715625,NaN,NaN,NaN,NaN
5867.7001314,77.06434375,NaN,NaN,NaN,NaN,NaN
5885.7795148,77.07375,NaN,NaN,NaN,NaN,NaN
5903.85892714,77.0704921875,NaN,NaN,NaN,NaN,NaN
5920,NaN,NaN,24.985,25,29.912,30
5937.43495078,77.0687734375,NaN,NaN,NaN,NaN,NaN
5956,NaN,NaN,24.985,25,30.028,30
5973.59369678,77.072234375,NaN,NaN,NaN,NaN,NaN
5990.53739832,NaN,114.73915625,NaN,NaN,NaN,NaN
6008.6165416,NaN,114.716140625,NaN,NaN,NaN,NaN
6026.69567514,NaN,114.7301796875,NaN,NaN,NaN,NaN
6043,NaN,NaN,24.975,25,30.068,30
6060.2711746,NaN,114.7217734375,NaN,NaN,NaN,NaN
6079,NaN,NaN,24.97,25,30.054,30
6096.42934462,NaN,114.6876328125,NaN,NaN,NaN,NaN
