T_amb_C,T_MCU_C
50.005,53.350
49.999,52.600
49.996,53.350
49.993,51.100
49.990,52.600
49.997,52.350
50.008,53.600
50.019,53.850
50.017,52.850
50.014,52.600
50.011,53.600
50.005,53.100
50.003,53.850
50.003,52.600
50.003,52.350
50.003,52.600
50.003,52.850
50.003,54.350
50.003,53.600
50.003,53.350
50.003,51.850
50.003,52.850
50.003,53.850
50.002,52.100
50.002,52.350
50.002,52.100
50.002,52.600
50.006,53.850
50.022,52.100
50.024,52.850
50.024,53.350
50.023,53.600
50.023,52.100
50.023,53.350
50.023,53.600
50.022,54.100
50.022,53.350
50.024,52.350
50.031,53.850
50.035,53.350
50.038,52.350
50.042,53.850
50.037,52.350
50.031,53.350
50.026,52.850
50.027,53.600
50.028,52.100
50.028,52.600
50.030,53.350
50.032,52.350
50.033,53.850
50.033,52.350
50.034,52.600
50.033,53.350
50.031,53.850
50.028,53.350
50.026,53.600
50.023,53.850
50.021,53.600
50.018,52.100
50.015,53.850
50.013,52.600
50.010,53.600
50.008,53.350
50.005,52.100
50.003,52.600
50.000,53.350
49.998,54.100
49.995,52.850
49.990,53.350
49.990,53.600
49.992,52.350
49.994,53.350
49.998,53.850
50.003,53.100
50.007,52.600
50.012,53.600
50.014,53.350
50.010,52.600
50.012,52.100
50.020,52.600
50.028,54.100
50.029,53.100
50.027,52.100
50.024,52.850
50.025,53.350
50.025,53.100
50.026,53.850
50.029,52.100
50.033,53.350
50.027,52.350
50.023,53.350
50.017,53.100
50.014,53.850
50.011,52.850
50.008,53.600
50.013,52.100
50.019,53.600
50.025,54.600
50.024,53.600
50.023,53.850
50.022,52.600
50.019,53.350
50.018,52.100
50.017,54.100
50.016,52.600
50.015,53.600
50.014,52.100
50.012,52.850
50.011,52.600
50.014,53.100
50.015,53.350
50.017,51.850
50.019,52.350
50.019,52.850
50.010,53.100
50.012,52.850
50.027,53.600
50.036,53.850
50.033,52.850
50.030,53.850
50.027,53.600
50.023,53.350
50.020,54.100
50.017,52.850
50.015,53.600
50.013,52.350
50.011,53.850
50.009,53.350
50.007,53.600
50.005,54.100
50.009,53.350
50.013,52.100
50.014,53.600
50.010,53.850
50.007,53.350
50.004,52.100
50.000,52.850
49.997,52.600
50.003,53.100
50.007,51.600
50.009,52.100
50.011,53.600
50.013,51.600
50.015,53.850
50.016,53.350
50.022,54.600
50.023,52.850
50.024,53.850
50.024,52.350
50.024,52.850
50.025,53.600
50.025,52.100
50.025,53.100
50.026,52.600
50.026,53.600
50.026,52.350
50.025,52.850
50.025,53.350
50.025,53.600
50.023,53.850
50.020,53.350
50.013,52.100
49.973,52.350
49.936,54.100
49.899,53.350
49.862,53.850
49.825,53.600
49.788,52.350
49.741,53.100
49.664,51.850
49.586,52.850
49.507,53.350
49.428,52.600
49.260,52.350
49.167,52.100
49.073,53.850
48.991,52.600
48.911,51.850
48.830,53.100
48.750,52.600
48.670,51.600
48.590,52.350
48.513,53.850
48.435,53.350
48.358,53.600
48.280,53.850
48.202,52.100
48.130,52.350
48.061,51.600
47.992,52.600
47.923,51.600
47.853,52.850
47.782,52.350
47.712,52.100
47.642,52.350
47.505,52.100
47.435,52.350
47.369,52.100
47.306,52.350
47.243,51.100
47.180,51.600
47.118,52.100
46.992,50.850
46.929,52.600
46.866,51.350
46.803,51.600
46.741,50.850
46.678,51.100
46.615,51.350
46.552,50.600
46.489,50.850
46.426,50.100
46.296,51.350
46.228,51.850
46.160,49.850
46.092,51.600
46.025,50.850
45.955,51.100
45.884,51.350
45.812,50.850
45.745,51.100
45.681,50.350
45.546,49.350
45.475,50.600
45.405,51.600
45.334,51.100
45.262,50.850
45.191,49.600
45.120,50.350
45.049,50.100
44.978,49.850
44.907,49.600
44.836,50.600
44.764,49.850
44.692,49.600
44.620,50.100
44.547,48.600
44.475,49.350
44.403,50.350
44.330,48.850
44.258,49.600
44.186,49.350
44.114,49.100
44.041,47.850
43.969,49.100
43.896,48.600
43.820,49.100
43.744,48.350
43.672,47.850
43.603,50.350
43.533,48.100
43.464,48.350
43.395,47.600
43.326,48.850
43.257,48.100
43.188,48.600
43.049,49.350
42.976,48.850
42.903,47.850
42.682,47.600
42.609,48.100
42.536,47.850
42.390,49.100
42.317,46.600
42.244,47.600
42.171,47.850
41.951,49.350
41.877,47.850
41.802,47.600
41.727,47.350
41.653,46.850
41.578,47.350
41.504,47.850
41.440,46.600
41.377,47.600
41.245,46.600
41.177,45.600
41.108,46.600
41.037,46.850
40.966,45.350
40.895,46.600
40.824,45.350
40.753,46.600
40.540,46.350
40.469,46.600
40.398,45.350
40.327,45.850
40.256,46.600
40.185,45.100
40.113,45.600
40.042,46.600
39.971,45.850
39.899,45.350
39.828,45.600
39.755,44.850
39.683,45.850
39.611,45.350
39.394,45.600
39.321,45.350
39.249,44.350
39.183,45.850
39.116,44.350
39.050,44.850
38.983,44.600
38.917,44.100
38.717,44.600
38.578,44.350
38.508,43.100
