Time_s,Voltage_mV,CmdDisp_um,CmdStrain_pct
43.21674628,67.18221306801,-5.43604242187499,-0.01812014140625
43.2993798,70.51134109497,-5.27464882812501,-0.0175821627604167
43.3820157,75.91670751572,-5.11325058593751,-0.0170441686197917
43.46462944,78.86828482151,-4.95189562499999,-0.01650631875
43.54725428,84.05174314976,-4.79051898437501,-0.0159683966145834
43.62989958,85.10786294937,-4.6291023828125,-0.0154303412760417
43.71253152,86.22486889362,-4.467711875,-0.0148923729166667
43.79516308,90.60863405466,-4.306322109375,-0.01435440703125
43.87780636,94.99590098858,-4.144909453125,-0.01381636484375
43.9604202,98.32402318716,-3.983554296875,-0.0132785143229167
44.04304566,100.8784174919,-3.82217644531251,-0.0127405881510417
44.12566284,103.5665348172,-3.66081476562501,-0.0122027158854167
44.20828906,107.0125102997,-3.49943542968751,-0.011664784765625
44.29091338,108.9364662766,-3.3380598046875,-0.011126866015625
44.37352586,112.5034987926,-3.1767073046875,-0.0105890243489583
44.45615582,116.3505762815,-3.0153206640625,-0.0100510688802083
44.53880814,119.9088022113,-2.8538903515625,-0.00951296783854166
44.62143446,122.495085001,-2.69251082031249,-0.00897503606770831
44.70406062,124.3349164724,-2.5311316015625,-0.00843710533854167
44.78669214,126.6804337502,-2.3697419140625,-0.00789913971354167
44.86933484,127.7390122414,-2.208330390625,-0.00736110130208332
44.95197318,129.7207772732,-2.04692738281249,-0.00682309127604165
45.03458152,133.6112320423,-1.88558296874999,-0.00628527656249998
45.11722696,136.5773081779,-1.72416609374999,-0.00574722031249998
45.19983734,140.2758955956,-1.5628176953125,-0.00520939231770832
45.28247294,142.6771432161,-1.4014200390625,-0.00467140013020835
45.36509834,143.970951438,-1.2400423046875,-0.00413347434895832
45.44772888,144.5605009794,-1.07865453125,-0.00359551510416667
45.53036484,146.5017050505,-0.917256171875007,-0.00305752057291669
45.61299214,149.1281688213,-0.755874726562496,-0.00251958242187499
45.69563008,152.410775423,-0.594472499999998,-0.00198157499999999
45.77826396,154.2473882437,-0.433078203125007,-0.00144359401041669
45.8608896,157.4713587761,-0.271699999999999,-0.000905666666666664
45.94352016,158.8314622641,-0.110312187500003,-0.000367707291666678
46.02617872,160.030156374,-0.0511303124999946,-0.000170434374999982
46.10882436,161.0489487648,-0.212547578125,-0.000708491927083332
46.19145102,162.5249385834,-0.373927773437505,-0.00124642591145835
46.27408152,163.4493768215,-0.535315468750006,-0.00178438489583335
46.35672552,164.3975228071,-0.696729531249995,-0.00232243177083332
46.43935278,164.603844285,-0.8581108984375,-0.00286036966145833
46.52196458,163.497403264,-1.0194620703125,-0.00339820690104168
46.60461326,163.9785319567,-1.1808852734375,-0.00393628424479167
46.6872568,164.2550230026,-1.3422984375,-0.004474328125
46.76989582,164.2910987139,-1.5037027734375,-0.00501234257812501
46.85253482,164.3487364054,-1.6651070703125,-0.00555035690104168
46.93516304,164.933308959,-1.8264903125,-0.00608830104166666
47.01781818,165.1282310486,-1.9879261328125,-0.00662642044270833
47.10044384,164.3735170364,-2.14930437499999,-0.00716434791666665
47.18308296,164.3124073744,-2.31070890625,-0.00770236302083334
47.26572988,163.4283959866,-2.472128671875,-0.00824042890625001
47.34835476,162.8692597151,-2.633505390625,-0.00877835130208333
47.4309686,162.9393845797,-2.794860546875,-0.00931620182291667
47.5136171,163.2285565138,-2.95628339843749,-0.00985427799479165
47.59624674,163.2750034332,-3.1176694140625,-0.0103922313802083
47.678857,163.0635857582,-3.279017578125,-0.01093005859375
47.76148166,162.1741503477,-3.4403938671875,-0.0114679795572917
47.84410632,161.013096571,-3.60177015625,-0.0120059005208333
47.92672946,160.1504087448,-3.76314347656249,-0.0125438115885416
48.00937568,159.651145339,-3.924561875,-0.0130818729166667
48.09201046,159.4018787146,-4.08595792968749,-0.013619859765625
48.17464912,159.2651307583,-4.2473615625,-0.014157871875
48.25727838,158.6804240942,-4.4087468359375,-0.0146958227864583
48.33988744,157.136246562,-4.57009265625,-0.0152336421875
48.42254812,155.3978770971,-4.731539296875,-0.01577179765625
48.50519712,154.2876064777,-4.892963125,-0.0163098770833333
48.58782668,153.7088155746,-5.054348984375,-0.0168478299479167
48.67046738,153.5565853119,-5.2157566015625,-0.0173858553385417
48.7531076,153.4135490656,-5.37716328125,-0.0179238776041667
48.83571856,152.4479836226,-5.53851281249999,-0.018461709375
48.918341,150.7374644279,-5.699884765625,-0.0189996158854167
49.00096542,149.2314189672,-5.8612605859375,-0.0195375352864583
49.08359114,147.5133746862,-6.02263894531251,-0.0200754631510417
49.16620896,146.0528671741,-6.184001875,-0.0206133395833333
49.24884142,143.4759497643,-6.3453933984375,-0.021151311328125
49.3314653,142.6516324282,-6.5067681640625,-0.0216892272135417
49.41408178,142.2153562307,-6.66812847656249,-0.022227094921875
49.49671496,141.0231143236,-6.82952140625,-0.0227650713541667
49.57933462,139.3873095512,-6.99088792968749,-0.023302959765625
49.66196444,136.8534862995,-7.152274296875,-0.0238409143229167
49.74460784,134.4115883112,-7.3136871875,-0.0243789572916667
