Time_s,Sawtooth_baseline_Value
64.28773952,143.3231979609
64.37036448,141.7256891727
64.45300426,139.7850066423
64.53563396,138.3727192879
64.61826668,137.9138231277
64.70089876,135.7425451279
64.78353572,134.2057734728
64.8661658,131.5621584654
64.94878526,128.4227371216
65.0314159,125.9541362524
65.11405986,125.3079324961
65.19668492,123.5422119498
65.27930544,122.5271597505
65.36192322,120.5498054624
65.44455556,118.2933375239
65.52717962,116.292513907
65.6098096,113.7529909611
65.69243568,111.6955056787
65.77507432,109.1689243913
65.85769552,104.5419126749
65.94033202,101.8067672849
66.02297048,99.38535839319
66.10559836,96.72422707081
66.18822198,95.74036300182
66.27083822,94.58384662867
66.35348542,95.09859234095
66.43610312,96.0571244359
66.51872156,96.99882566929
66.60135748,98.02635759115
66.6839999,98.90858083963
66.76664548,101.3085991144
66.84927456,103.3776327968
66.93188606,104.6961024404
67.01450764,106.103502214
67.09713706,108.5283085704
67.17974878,110.3556454182
67.26238392,111.2403571606
67.34500804,112.704500556
67.42763418,113.3573353291
67.51026656,113.8719171286
67.59290732,115.1434928179
67.67552592,117.2505989671
67.75816966,118.8709661365
67.84078506,120.8774149418
67.9234106,121.687553823
68.0060346,123.0541467667
68.08866976,124.3386641145
68.171308,126.4709532261
68.25393944,128.2539069653
68.33658502,130.5049359798
68.41919978,132.3055624962
68.50183416,133.4410756826
68.58445876,134.0959370136
68.66710222,135.5754286051
68.74972448,136.5849077702
68.83235054,138.5502815247
68.91496456,139.9497538805
68.99761486,142.6983475685
69.08024642,144.06940341
69.1628718,145.1490819454
69.24550774,146.7394530773
69.32811626,147.6461142302
69.41075028,149.7497856617
69.49338572,152.2104740143
69.5760376,152.9564857483
69.65866216,154.2570143938
69.74127996,154.8043340445
69.82392208,155.6427627802
69.90655512,156.3756465912
69.9891922,158.0504477024
70.07181892,159.6653163433
70.1544699,160.9776765108
70.2370907,161.8676185608
70.3197405,162.5128239393
70.40237172,163.512840867
70.48498814,164.1781926155
70.5676136,164.5711660385
70.65023314,164.94384408
70.73288602,166.2915349007
70.81550382,167.6285862923
70.89813648,168.3127135038
70.98078132,169.0369993448
71.06340932,168.670386076
71.14603392,169.0898388624
71.22867352,169.9878126383
71.31131082,170.6047356129
71.39395416,171.0223257542
71.47659968,171.3892370462
71.55922978,171.1780577898
71.64185686,171.1392253637
71.72447266,170.6876754761
71.80712222,170.3486740589
71.88974528,170.0690239668
71.97236002,170.5167889595
72.05498834,170.0669527054
72.1376118,169.8625385761
72.22025248,169.3649441004
72.3028711,168.4806495905
72.38550472,168.0132448673
72.46811922,167.653247714
72.5507598,167.4423366785
72.6333848,167.4871295691
72.71602068,167.0506745577
72.7986719,166.5465980768
72.88128636,165.4785275459
72.96391412,163.8120263815
73.04656452,162.712469697
73.12920864,162.3722612858
73.21183704,161.8882119656
73.29448684,161.3003909588
73.37710234,159.8696261644
73.45971664,158.5239171982
73.54234924,157.2265326977
73.6249918,156.4849764109
73.7076287,156.8288505077
73.7902418,157.4251055717
73.87289336,158.2900285721
73.95554166,158.820733428
74.03817154,158.9246988297
74.12078532,158.9299589396
74.20341686,159.4083309174
74.28605002,160.6606990099
74.36869568,161.330729723
74.45131644,162.4624431133
74.53397586,163.1350964308
74.61659304,163.6096388102
74.69921728,163.8901084661
74.78184902,164.5918488503
74.8644748,164.9847179651
74.94710944,165.8975034952
75.02974838,166.7983084917
75.11238536,167.3912405968
75.19501918,168.4368699789
75.2776496,168.6082035303
75.36026106,168.5741692781
