T_amb,T_MCU
8.961,9.274
9.135,9.456
9.307,9.645
9.478,9.932
9.647,10.114
9.816,10.437
9.984,10.594
10.151,10.761
10.317,10.909
10.482,11.074
10.646,11.229
10.810,11.205
10.973,11.454
11.138,11.570
11.304,11.661
11.471,11.891
11.639,11.980
11.808,12.248
11.977,12.504
12.146,12.723
12.316,12.900
12.486,13.018
12.657,13.338
12.828,13.413
13.000,13.645
13.172,13.887
13.345,13.970
13.518,14.231
13.692,14.352
13.867,14.439
14.042,14.589
14.217,14.684
14.391,14.851
14.562,14.949
14.728,15.093
14.890,15.196
15.049,15.375
15.207,15.589
15.362,15.776
15.515,15.946
15.666,16.157
15.816,16.199
15.968,16.515
16.120,16.658
16.275,16.892
16.437,17.190
16.604,17.332
16.773,17.425
16.945,17.514
17.119,17.535
17.294,17.843
17.471,17.993
17.647,18.259
17.824,18.319
18.000,18.483
18.174,18.614
18.346,18.731
18.515,18.983
18.682,19.223
18.847,19.407
19.013,19.614
19.177,19.632
19.342,19.743
19.507,19.907
19.672,20.023
19.838,20.229
20.004,20.406
20.172,20.532
20.341,20.717
20.511,20.814
20.682,21.030
20.853,21.209
21.023,21.463
21.191,21.698
21.357,21.833
21.523,22.072
21.687,22.247
21.851,22.404
22.016,22.626
22.179,22.814
22.343,23.058
22.506,23.234
22.669,23.372
22.832,23.420
22.997,23.506
23.162,23.764
23.329,23.960
23.496,24.129
23.665,24.312
23.833,24.416
24.003,24.578
24.173,24.724
24.342,24.817
24.511,24.999
24.680,25.323
24.847,25.495
25.015,25.682
25.182,25.805
25.348,26.031
25.511,26.150
25.674,26.346
25.836,26.426
25.999,26.493
26.164,26.753
26.330,26.869
26.497,26.937
26.665,27.286
26.834,27.444
27.003,27.636
27.175,27.734
27.347,27.932
27.519,28.082
27.688,28.365
27.856,28.671
28.024,28.723
28.192,28.930
28.358,29.081
28.523,29.116
28.687,29.176
28.850,29.354
29.011,29.477
29.173,29.619
29.335,29.718
29.498,29.793
29.662,29.871
29.826,30.030
29.990,30.134
30.155,30.231
30.320,30.448
30.486,30.566
30.653,30.608
30.822,30.829
30.992,30.977
31.162,31.066
31.332,31.261
31.500,31.413
31.668,31.568
31.835,31.760
32.000,31.940
32.165,31.957
32.329,32.216
32.493,32.491
32.657,32.574
32.820,32.765
32.983,33.073
33.148,33.249
33.314,33.391
33.482,33.578
33.650,33.763
33.820,33.933
33.989,34.139
34.159,34.292
34.328,34.408
34.497,34.663
34.665,34.796
34.833,34.943
34.999,35.002
35.163,35.262
35.326,35.471
35.489,35.648
35.650,35.792
35.809,35.974
35.967,36.103
36.123,36.246
36.279,36.347
36.434,36.563
36.589,36.810
36.747,36.980
36.906,37.086
37.065,37.242
37.225,37.357
37.387,37.517
37.552,37.662
37.720,37.928
37.891,38.102
38.063,38.269
38.238,38.408
38.413,38.453
