Time_s,Voltage_mV
76579.34051112,172.071531415
76680.06892482,172.0989048481
76832.4528302,172.1732318401
76881.52562068,172.2337603569
77020.9958792,172.1385419369
77199.20777476,172.3785102367
77312.85021022,172.4882721901
77426.49259066,172.2210049629
77514.30709668,172.2824275494
77715.76399386,172.2814440727
77816.49235936,172.3868250847
77917.22072482,172.1643507481
78056.6908424,172.1822619438
78221.98881138,172.1481382847
78296.88946664,172.1959114075
78485.432376,172.0657944679
78624.90250876,172.1899807453
78676.55808236,172.1439659595
78890.92898854,172.0653623343
78978.74361044,172.0765084028
79066.5582967,172.2282469273
79283.5119432,172.1404343843
79319.67092826,172.095939517
79459.14114666,172.0734685659
79637.35291038,172.1017509699
79763.90919134,172.0244288445
79838.80975366,172.0961779356
79965.36591228,172.1450537443
80192.650647,172.1391826868
80306.2929146,172.1075773239
80394.10734708,172.1204221249
80559.40520948,172.0126718283
80711.78924104,172.0635592937
80760.86200694,172.0720827579
80900.3320966,172.1277832985
81101.7887665,172.1452325583
81153.44439418,172.1971035004
81316.15962502,172.2100228071
81380.72915228,172.1433401108
81494.37140752,172.2373962402
81644.17273482,172.2590923309
81770.72891376,172.2430884838
81923.11311744,172.1048057079
82124.57006866,172.108322382
82150.39787378,172.0490902662
82390.59662602,172.1103042364
82452.58333354,172.1087098122
82630.79518874,172.1949726343
82744.4375312,172.1168011427
82806.42427852,172.1305549145
82984.63608316,172.1949577332
83134.43733582,172.0613837242
83286.82143636,172.117382288
83374.63595034,172.0846295357
83501.19208776,172.0711737871
83578.67546582,172.1059828997
83805.95999592,172.058865428
83919.60228296,172.1698492765
83981.5889282,172.06145823
84172.71464288,172.2648888826
84234.70140936,172.2240447998
84461.98604854,172.1917390823
84588.54230092,172.1963733435
84640.19785248,172.2882091999
84728.01256004,172.2254604101
84942.38319212,172.1583902836
85019.86655842,172.2367107868
85133.50883446,172.2836494446
85347.87949838,172.178119421
85435.69396482,172.1937209368
85500.2634678,172.1364408731
