Time_s,Sensor_negDegPLA,TempActual_C
24164.068461,79.562359,21.074882
24182.147908,79.492125,20.974323
24269.962234,79.060352,20.485890
24306.121143,78.870820,20.286417
24412.014787,78.308977,19.705815
24499.829128,77.905227,19.217133
24535.987995,77.704367,19.013409
24569.563990,77.542414,18.824237
24605.722748,77.356531,18.619993
24639.298862,77.209977,18.429888
24675.457643,77.044500,18.225160
24709.033640,76.863727,18.035055
24745.192454,76.706023,17.830327
24763.271891,76.647289,17.727962
24781.351272,76.545602,17.625598
24799.430668,76.480336,17.523234
24833.006723,76.273570,17.333129
24920.821055,75.721445,16.834313
24938.900450,75.544711,16.735768
25044.794176,75.058078,16.152324
25114.529062,74.791836,15.770277
25132.608520,74.672867,15.669950
25150.687943,74.589711,15.569623
25184.264015,74.421023,15.383302
25202.343438,74.379328,15.282975
25220.422880,74.271992,15.182648
25308.237262,73.907945,14.693520
25326.316656,73.753852,14.591278
25396.051503,73.474578,14.194301
25465.786372,73.419055,13.808074
25483.865760,73.328812,13.709459
25589.759462,72.607094,13.112804
25607.838900,72.602023,13.009591
25641.414985,72.410641,12.817909
25659.494387,72.318758,12.714697
25677.573792,72.309805,12.611484
25747.308662,71.990047,12.230174
25817.043582,71.565344,11.864246
25853.202372,71.344180,11.674505
25871.281804,71.306891,11.579635
25941.016712,71.042438,11.223480
25959.096131,70.817367,11.138993
26152.804261,70.335422,10.065264
26186.380392,70.161773,9.870048
26222.539219,70.075359,9.662654
26240.618665,70.020008,9.558957
26310.353581,69.725758,9.153145
26346.512418,69.710445,8.948461
26380.088495,69.401984,8.757616
26416.247383,69.322430,8.552091
26485.982240,69.003430,8.155723
26679.690299,68.184750,7.057213
26697.769720,68.042570,6.956217
26715.849149,67.993984,6.855222
26749.425138,68.030898,6.666258
26906.974503,67.553289,5.808962
26925.053910,67.373000,5.708191
26943.133277,67.322867,5.607421
26961.212656,67.184422,5.506651
26994.788704,67.108508,5.319506
27030.947608,66.826641,5.114801
27067.106410,66.771250,4.914260
27100.682473,66.643344,4.734010
27118.761918,66.596711,4.636483
27136.841309,66.553984,4.538958
27206.576172,66.400797,4.162786
27276.311117,66.121531,3.786614
27294.390563,65.976758,3.689088
27312.469994,65.959570,3.591562
27400.284294,65.608727,3.110032
27436.443105,65.492402,2.907282
27470.019181,65.366656,2.719722
27488.098614,65.366418,2.620633
27593.992355,65.022293,1.936442
27663.727331,64.919246,1.642388
27681.806732,64.937332,1.595546
27787.700505,64.722277,2.230030
27857.435364,64.546371,2.340726
27875.514794,64.568313,2.333391
27927.170238,64.559980,2.312434
27945.249679,64.539344,2.305099
27963.329109,64.513703,2.297764
27999.488021,64.452867,2.143132
28051.143528,64.268859,1.751189
28087.302362,64.241961,1.476829
28105.381818,64.206145,1.339649
28193.196215,64.052523,0.637702
28226.772330,64.032305,0.316548
28262.931179,63.885277,-0.032837
28350.745512,63.785824,-0.894291
28368.824946,63.615234,-1.074462
28386.904344,63.520562,-1.254633
28420.480412,63.360984,-1.585423
28456.639257,63.114480,-1.937400
28526.374192,63.016727,-2.616212
28738.161730,62.186855,-4.405231
28844.055403,61.803676,-5.137597
28880.214243,61.470309,-5.372647
28949.949081,61.253066,-5.800127
28968.028482,61.261656,-5.890956
28986.107898,61.335922,-5.981786
29004.187302,61.330641,-6.072616
29037.763337,61.132594,-6.241299
29249.550670,60.383320,-7.301646
29319.285535,60.207328,-7.651203
29355.444337,59.997293,-7.840319
29389.020318,59.975391,-8.022940
29407.099719,59.977715,-8.121274
29425.179106,59.923992,-8.219608
29443.258516,59.800316,-8.317943
29479.417368,59.604770,-8.520650
29512.993438,59.466867,-8.703853
29531.072829,59.423809,-8.797320
29618.887074,59.087730,-9.292655
29706.701369,59.140918,-9.766521
29794.515592,58.928125,-10.252113
29812.595004,58.976066,-10.354416
29864.250440,58.503156,-10.646710
29882.329847,58.469176,-10.749013
29952.064661,58.304055,-11.135567
29970.144047,58.306578,-11.235077
29988.223443,58.260406,-11.334588
30006.302854,58.130309,-11.434098
30076.037744,57.905852,-11.823814
30145.772629,57.860711,-12.201970
30163.852031,57.828387,-12.300011
30215.507455,57.654164,-12.578065
30233.586864,57.636734,-12.675026
30251.666235,57.598980,-12.771987
30303.321617,57.409168,-13.049018
30321.401059,57.337719,-13.145979
30391.135872,57.228387,-13.513360
30409.215262,57.374465,-13.608071
30460.870626,57.103715,-13.880667
30478.950018,57.067547,-13.976411
30602.923113,56.717234,-14.676590
30636.499144,56.727309,-14.877667
30672.657930,56.560000,-15.091711
30690.737366,56.627777,-15.198733
30760.472210,56.308582,-15.622833
30778.551582,56.345504,-15.731309
30796.631040,56.342684,-15.839786
30884.445300,55.873859,-16.327586
30902.524709,55.901871,-16.430244
30920.604082,55.790637,-16.532901
30954.180103,55.665813,-16.698538
30990.338870,55.836160,-16.881295
31060.073686,55.814156,-17.296737
31078.153100,55.719695,-17.404444
31096.232511,55.679301,-17.512151
31235.702064,55.637391,-18.275660
31271.860873,55.595703,-18.465304
31305.436897,55.452543,-18.643945
31323.516307,55.481102,-18.746179
31341.595666,55.425547,-18.848411
31535.303639,54.997871,-19.962565
31605.038529,54.795684,-19.556230
31623.117970,54.766262,-19.385872
31641.197412,54.771934,-19.215514
31692.852916,54.640207,-18.928358
31710.932316,54.618699,-18.960114
31780.667196,54.493281,-19.082602
31850.401917,54.521930,-19.205089
31886.560749,54.470391,-19.293791
31920.136779,54.484145,-19.398335
31938.216188,54.417691,-19.454628
32007.951091,54.176160,-19.659916
32095.765409,54.377293,-19.851402
32165.500264,54.324898,-19.970143
32183.579666,54.320633,-19.990854
32235.235136,54.266258,-20.050029
32253.314541,54.216516,-20.070740
32359.208195,54.051832,-20.189930
32377.287608,54.041605,-20.189857
32395.366956,54.072816,-20.189783
32413.446356,54.006633,-20.189710
32465.101858,53.822523,-20.189500
32483.181265,53.805656,-20.189426
32552.916143,53.631605,-20.189143
32570.995585,53.616508,-20.189069
32676.889349,53.633008,-20.198527
32694.968744,53.641336,-20.190975
32764.703575,53.594039,-20.161845
32798.279618,53.609867,-20.147820
32834.438449,53.575875,-20.131502
32852.517867,53.597563,-20.122691
32868.014519,53.630832,-20.115138
32904.173316,53.595102,-20.097517
32922.252742,53.590488,-20.088706
32940.332182,53.560844,-20.079895
32958.411610,53.615094,-20.071084
32991.987685,53.734477,-20.060157
33010.067106,53.678910,-20.057132
33028.146521,53.560805,-20.054106
33097.881436,53.588219,-20.042436
33167.616310,53.555848,-20.030766
33185.695708,53.532781,-20.027741
33203.775114,53.499152,-20.024715
33237.351187,53.490504,-20.021018
33255.430609,53.474223,-20.019994
33273.510039,53.445453,-20.018971
33482.714480,53.490953,-20.006369
33518.873299,53.477641,-20.006621
33536.952723,53.488855,-20.006748
33555.032097,53.461242,-20.006874
33606.687484,53.455004,-20.016935
33624.766898,53.444594,-20.019935
33782.315983,53.459941,-20.046079
33888.209519,53.453734,-20.072982
33924.368339,53.439215,-20.079949
33957.944348,53.429875,-20.083328
33976.023749,53.417570,-20.085147
33994.103149,53.423141,-20.086966
34027.679112,53.422598,-20.090345
34081.917322,53.418961,-20.097583
34151.652116,53.391344,-20.084821
34169.731498,53.357086,-20.076129
34239.466341,53.319656,-20.046740
34257.545750,53.339754,-20.042330
34309.201162,53.332922,-20.029731
34327.280538,53.343820,-20.025322
34397.015402,53.366973,-20.009042
34415.094804,53.338586,-20.004886
34484.829670,53.389434,-20.007365
34502.909087,53.388672,-20.005707
34554.564588,53.398477,-20.000970
34572.643995,53.392211,-19.999312
34608.802833,53.428242,-19.995996
34660.458327,53.402930,-19.991259
34678.537741,53.387898,-19.989601
34748.272564,53.372766,-19.990978
34766.351976,53.392125,-19.992007
34818.007444,53.386195,-19.994950
34836.086795,53.385695,-19.995980
34905.821620,53.368449,-19.991622
34941.980396,53.349395,-19.987870
35047.874042,53.311785,-20.005025
35081.450098,53.304773,-20.005984
35099.529517,53.259770,-20.006501
35117.608926,53.250652,-20.007017
35151.184921,53.243906,-20.007977
35169.264321,53.241062,-20.008493
35187.343728,53.224676,-20.009010
35257.078580,53.248586,-20.011002
35275.157952,53.270758,-20.011519
35293.237367,53.256598,-20.012035
35311.316803,53.218227,-20.012552
35468.866082,53.230742,-19.997101
35502.442149,53.241844,-20.008055
35520.521574,53.252555,-20.007016
35538.601007,53.239246,-20.005977
35556.680408,53.241586,-20.004938
35696.150313,53.129926,-20.005945
35732.309100,53.134801,-20.003018
35802.043930,53.112348,-19.997373
35838.202784,53.118430,-19.995219
35871.778855,53.136141,-19.993855
35889.858291,53.129672,-19.993120
35907.937715,53.148875,-19.992385
36047.407535,53.161301,-19.990393
36083.566361,53.129223,-19.988421
